Latitude (decimal degrees):	-1.589
Longitude (decimal degrees):	29.657
Radiation database:	PVGIS-SARAH3

year		month		H(i)_m
2005		Jan		147.14
2005		Feb		142.31
2005		Mar		137.35
2005		Apr		150.34
2005		May		138.72
2005		Jun		151.16
2005		Jul		181.35
2005		Aug		159.69
2005		Sep		152.95
2005		Oct		130.26
2005		Nov		129.05
2005		Dec		140.8
2006		Jan		129.22
2006		Feb		131.25
2006		Mar		150.22
2006		Apr		137.79
2006		May		143.14
2006		Jun		169.97
2006		Jul		158.1
2006		Aug		166.07
2006		Sep		154.12
2006		Oct		134.99
2006		Nov		116.5
2006		Dec		122.02
2007		Jan		142.58
2007		Feb		128.05
2007		Mar		154.38
2007		Apr		152.27
2007		May		135.01
2007		Jun		131.24
2007		Jul		154.39
2007		Aug		152.29
2007		Sep		141.73
2007		Oct		132.84
2007		Nov		122.59
2007		Dec		136.59
2008		Jan		122.67
2008		Feb		130.42
2008		Mar		130.95
2008		Apr		151.81
2008		May		141.51
2008		Jun		146.33
2008		Jul		162.63
2008		Aug		139.94
2008		Sep		155.67
2008		Oct		129.76
2008		Nov		130.0
2008		Dec		143.53
2009		Jan		113.91
2009		Feb		115.34
2009		Mar		149.87
2009		Apr		127.26
2009		May		135.0
2009		Jun		172.95
2009		Jul		186.87
2009		Aug		164.12
2009		Sep		156.18
2009		Oct		119.94
2009		Nov		125.75
2009		Dec		121.36
2010		Jan		149.53
2010		Feb		126.5
2010		Mar		149.17
2010		Apr		147.5
2010		May		141.18
2010		Jun		151.98
2010		Jul		170.96
2010		Aug		185.62
2010		Sep		154.91
2010		Oct		137.34
2010		Nov		121.76
2010		Dec		133.65
2011		Jan		141.57
2011		Feb		139.77
2011		Mar		139.62
2011		Apr		144.79
2011		May		137.63
2011		Jun		152.94
2011		Jul		187.07
2011		Aug		146.82
2011		Sep		119.8
2011		Oct		124.6
2011		Nov		126.01
2011		Dec		133.92
2012		Jan		174.18
2012		Feb		143.32
2012		Mar		166.08
2012		Apr		128.32
2012		May		121.31
2012		Jun		153.09
2012		Jul		173.12
2012		Aug		163.79
2012		Sep		148.36
2012		Oct		139.45
2012		Nov		120.37
2012		Dec		124.51
2013		Jan		145.88
2013		Feb		143.93
2013		Mar		133.78
2013		Apr		144.1
2013		May		140.14
2013		Jun		174.01
2013		Jul		191.61
2013		Aug		155.64
2013		Sep		146.53
2013		Oct		157.94
2013		Nov		115.7
2013		Dec		125.8
2014		Jan		154.84
2014		Feb		133.44
2014		Mar		145.07
2014		Apr		148.07
2014		May		144.83
2014		Jun		138.02
2014		Jul		180.15
2014		Aug		142.87
2014		Sep		139.2
2014		Oct		147.63
2014		Nov		121.69
2014		Dec		139.29
2015		Jan		158.11
2015		Feb		138.3
2015		Mar		149.02
2015		Apr		128.17
2015		May		137.46
2015		Jun		144.66
2015		Jul		185.3
2015		Aug		178.58
2015		Sep		157.35
2015		Oct		129.63
2015		Nov		119.63
2015		Dec		136.49
2016		Jan		126.56
2016		Feb		144.13
2016		Mar		163.37
2016		Apr		129.99
2016		May		143.43
2016		Jun		144.15
2016		Jul		184.19
2016		Aug		188.72
2016		Sep		146.97
2016		Oct		132.07
2016		Nov		111.9
2016		Dec		144.78
2017		Jan		153.67
2017		Feb		128.8
2017		Mar		144.83
2017		Apr		141.76
2017		May		139.61
2017		Jun		168.82
2017		Jul		161.82
2017		Aug		134.96
2017		Sep		137.12
2017		Oct		149.79
2017		Nov		126.62
2017		Dec		140.55
2018		Jan		137.29
2018		Feb		128.21
2018		Mar		131.69
2018		Apr		125.85
2018		May		135.73
2018		Jun		160.94
2018		Jul		178.28
2018		Aug		157.25
2018		Sep		164.13
2018		Oct		145.24
2018		Nov		124.99
2018		Dec		118.82
2019		Jan		148.47
2019		Feb		133.35
2019		Mar		145.2
2019		Apr		143.49
2019		May		131.77
2019		Jun		128.44
2019		Jul		163.89
2019		Aug		158.77
2019		Sep		153.23
2019		Oct		123.56
2019		Nov		125.32
2019		Dec		131.86
2020		Jan		127.43
2020		Feb		131.64
2020		Mar		148.72
2020		Apr		129.07
2020		May		160.83
2020		Jun		152.35
2020		Jul		144.41
2020		Aug		167.59
2020		Sep		146.86
2020		Oct		126.29
2020		Nov		125.26
2020		Dec		140.34
2021		Jan		131.09
2021		Feb		131.21
2021		Mar		151.4
2021		Apr		146.3
2021		May		156.58
2021		Jun		159.34
2021		Jul		156.18
2021		Aug		165.84
2021		Sep		145.01
2021		Oct		143.42
2021		Nov		129.27
2021		Dec		117.99
2022		Jan		140.86
2022		Feb		122.49
2022		Mar		162.1
2022		Apr		139.24
2022		May		140.88
2022		Jun		153.65
2022		Jul		173.07
2022		Aug		147.42
2022		Sep		133.55
2022		Oct		155.4
2022		Nov		110.14
2022		Dec		131.21
2023		Jan		157.15
2023		Feb		131.92
2023		Mar		150.52
2023		Apr		139.26
2023		May		175.36
2023		Jun		143.38
2023		Jul		195.6
2023		Aug		179.8
2023		Sep		134.66
2023		Oct		134.76
2023		Nov		111.72
2023		Dec		139.31

H(i)_m: Irradiation on plane at angle (kWh/m2/mo)

PVGIS (c) European Union, 2001-2026
